Motorcycle,Color,Year,Mileage,Price,MotorcycleStrip
GRAND FILANO,gray,2560.0,2592.655274888559,37000.0,GRAND FILANO
SCOOPY-I,Other,2559.0,2592.655274888559,28500.0,SCOOPY-I
PCX150,black,2556.0,2592.655274888559,45000.0,PCX150
CLICK125I,black,2561.0,2592.655274888559,36000.0,CLICK125I
CLICK125I,Other,2555.0,2592.655274888559,24500.0,CLICK125I
PCX125,red,2554.0,2592.655274888559,35500.0,PCX125
FINO,Other,2552.0,2592.655274888559,17500.0,FINO
PCX150,Other,2559.0,68.0,68000.0,PCX150
FINO125I,Other,2559.0,8000.0,33000.0,FINO125I
GRAND FILANO,blue,2560.0,2592.655274888559,36000.0,GRAND FILANO
CLICK125I,yellow,2559.0,2592.655274888559,31500.0,CLICK125I
PCX150,black,2559.0,2592.655274888559,65000.0,PCX150
SCOOPY-I,black,2557.0,2592.655274888559,27000.0,SCOOPY-I
PCX150,red,2555.0,2592.655274888559,42000.0,PCX150
PCX150,white,2557.0,2592.655274888559,52500.0,PCX150
CLICK125I,black,2561.0,36.0,36000.0,CLICK125I
CLICK125I,black,2559.0,35.0,35500.0,CLICK125I
FORZA300,orange,2559.0,4300.0,99000.0,FORZA300
CLICK125I,Other,2557.0,2592.655274888559,24000.0,CLICK125I
MOOVE,white,2560.0,2592.655274888559,29000.0,MOOVE
ZOOMER-X,Other,2559.0,2592.655274888559,33000.0,ZOOMER-X
ZOOMER-X,yellow,2558.0,2592.655274888559,32000.0,ZOOMER-X
CLICK125I,Other,2559.0,2592.655274888559,34500.0,CLICK125I
MIO,Other,2554.0,2592.655274888559,17000.0,MIO
CLICK125I,blue,2560.0,2592.655274888559,35500.0,CLICK125I
CLICK,blue,2549.0,2592.655274888559,15000.0,CLICK
AIRBLADE,black,2550.0,2592.655274888559,11500.0,AIRBLADE
FINO,Other,2556.0,2592.655274888559,19500.0,FINO
ZOOMER-X,white,2560.0,2592.655274888559,35500.0,ZOOMER-X
ZOOMER-X,Other,2560.0,2592.655274888559,34000.0,ZOOMER-X
SCOOPY-I,red,2556.0,27.0,27000.0,SCOOPY-I
PCX150,Other,2557.0,2592.655274888559,58000.0,PCX150
FINO,red,2551.0,2592.655274888559,17500.0,FINO
SCOOPY-I,yellow,2560.0,9500.0,32000.0,SCOOPY-I
CLICK125I,green,2560.0,2000.0,44000.0,CLICK125I
PCX150,black,2558.0,2592.655274888559,53000.0,PCX150
PCX150,white,2557.0,1700.0,62000.0,PCX150
SCOOPY-I,yellow,2560.0,4000.0,32500.0,SCOOPY-I
FINO,Other,2557.0,2592.655274888559,24000.0,FINO
FINO,red,2557.0,2592.655274888559,25000.0,FINO
ZOOMER-X,Other,2559.0,2592.655274888559,34000.0,ZOOMER-X
FINO,Other,2555.0,2592.655274888559,21500.0,FINO
N-MAX,white,2559.0,2592.655274888559,52000.0,N-MAX
GRAND FILANO,blue,2559.0,2592.655274888559,32500.0,GRAND FILANO
ZOOMER-X,white,2560.0,6000.0,38000.0,ZOOMER-X
PCX150,red,2559.0,68.0,68000.0,PCX150
SCOOPY-I,gray,2557.0,28.0,28000.0,SCOOPY-I S12
FINO FI,Other,2557.0,23.0,23500.0,FINO FI
PCX150,black,2557.0,2592.655274888559,57000.0,PCX150
CLICK110I,blue,2552.0,2592.655274888559,20000.0,CLICK110I
PCX150,white,2560.0,72.0,72000.0,PCX150
PCX125,red,2554.0,2592.655274888559,36000.0,PCX125
ZOOMER-X,red,2556.0,2592.655274888559,26500.0,ZOOMER-X
PCX150,blue,2560.0,2592.655274888559,70000.0,PCX150
N-MAX,black,2560.0,2592.655274888559,54000.0,N-MAX
